Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_PMT-27 [15668],AZORES / TERCEIRA,38.72,-27.22,HAWAIITE [15668],15.26,23.00,28.00
s_RR20B [811] / s_RR 20B [9925],AUSTRAL-COOK ISLANDS / RURUTU / YOUNG ATIU-TREND LAVAS,-22.42,-151.33,HAWAIITE [811],15.00,23.00,42.90
s_MU20 [7933] / s_MU 20 [9925],SOCIETY ISLANDS / MAUPITI / SHIELD STAGE,-16.42,-152.26,HAWAIITE [7933],15.70,23.00,50.80
T564,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,ol basalt,15.54,23.00,53.00
s_ST73 [1238],CAMEROON LINE / SAO TOME,0.42,6.58,MUGEARITE [1238] / TEPHRITE [1194],17.42,23.00,64.00
T347,TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.12,-12.28,trachybasalt,16.31,23.00,76.00
s_HK-29 [20654],HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / HANA SERIES,20.73,-156.22,BASANITE [20654],13.79,23.90,38.30
s_SU18 [2992],ICELAND / ICELAND,66.02,-23.79,BASALT [2992],13.11,24.00,9.70
s_AMS4 [6897],AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,-37.83,77.55,BASALT [6897],19.18,24.00,15.60
s_C-09-08 [16341],AZORES / CORVO / CALDERA STAGE,39.71,-31.11,"TRACHYANDESITE, BASALTIC [16341] / NOT GIVEN [19965]",16.34,24.01,61.49
s_21-1 [2038] / s_AII-93-21-1 [1253],WALVIS RIDGE / EASTERN WALVIS RIDGE PROVINCE / DREDGE AII-93-21,-25.44,6.70,"BASALT [2038] / BASALT, ALKALINE [16977]",15.72,24.50,36.00
s_128 [216] / s_KAH 128 [18020],HAWAIIAN ISLANDS / KAHOOLAWE,20.50,-156.67,HAWAIITE [216],16.64,25.00,20.00
s_MA-115 [3348],MADEIRA ARCHIPELAGO / MADEIRA / LATE RIFT PHASE,32.66,-16.81,BASALT [3348],15.91,25.00,32.50
s_27854 [520],TRISTAN DA CUNHA GROUP / INACCESSIBLE,-37.32,-12.73,"BASALT, ALKALINE [520]",16.44,25.00,53.00
s_ARC321 [1008],KERGUELEN / KERGUELEN ARCHIPELAGO,-48.55,68.50,BASANITE [1008],14.72,25.00,86.40
